CaptureSite,ForagingGround,CaptureMethod,Species,Sex,Status,CaptureSiteCategory,Type,year,week_of_year,year_woy
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,3,201603
11,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2002,46,200246
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2003,44,200344
19,Ocean,Longline,Species_4,Female, shell is beginning to flake,CaptureSiteCategory_2,Type_1,2017,19,201719
2,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,44,201044
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,43,200443
22,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2005,8,200508
19,Ocean,Collected Floater,Species_5,Unknown,Admitted,CaptureSiteCategory_2,Type_1,2014,46,201446
1,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2011,38,201138
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,44,201644
9,Ocean,Net,Species_6,,Released,CaptureSiteCategory_1,Type_1,2011,46,201146
19,Ocean,Collected Floater,Species_6,, some Bs on scutes and flippers,CaptureSiteCategory_2,Type_1,2008,37,200837
8,Ocean,Net,Species_6,,Released,CaptureSiteCategory_1,Type_1,2011,50,201150
5,Creek,Longline,Species_5,,,CaptureSiteCategory_4,Type_0,2009,2,200902
17,Creek,Net,Species_6,Unknown,Admitted,CaptureSiteCategory_4,Type_0,2016,2,201602
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,2,201102
20,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,23,200823
23,Creek,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,34,201434
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,32,201732
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,14,201414
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,8,201708
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2004,52,200452
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,12,201312
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,45,201245
12,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2011,9,201109
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2010,51,201051
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,10,201510
20,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,9,201309
7,Creek,Longline,Species_5,,,CaptureSiteCategory_4,Type_0,2010,7,201007
6,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2015,32,201532
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,1,201701
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,26,201026
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2018,34,201834
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2013,50,201350
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,7,201707
5,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,7,201207
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,2,201302
12,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,23,201023
16,Creek,Net,Species_5,,Released,CaptureSiteCategory_4,Type_0,2011,42,201142
13,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2011,4,201104
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,2,200702
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,25,201425
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,40,200940
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,26,201226
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,49,201249
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2001,49,200149
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,36,200736
9,Ocean,Net,Species_6,,Released,CaptureSiteCategory_1,Type_1,2012,1,201201
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,36,201436
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,1,201401
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,50,201250
13,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2009,45,200945
8,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,48,201448
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,6,200706
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,37,201737
20,Creek,Longline,Species_5,,Released,CaptureSiteCategory_0,Type_0,2012,1,201201
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,25,201725
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,2,201402
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,48,200848
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2006,7,200607
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,24,201724
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,29,201429
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,38,201438
22,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,24,200724
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,47,200947
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,4,200904
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,1,201101
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,31,201331
27,Creek,Uzio,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,1,201601
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2016,10,201610
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,49,201249
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,39,201339
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,21,201421
4,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,3,201303
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,25,201425
11,Creek,Beached,Species_5,,,CaptureSiteCategory_0,Type_0,2009,24,200924
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,49,201749
11,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,5,201605
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,51,201051
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,26,201326
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,8,201308
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,8,201208
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,36,201636
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,6,201306
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2007,5,200705
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,25,201025
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,8,201808
4,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,19,201419
1,Ocean,Net,Species_5,,Released,CaptureSiteCategory_2,Type_1,2011,51,201151
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,52,201852
7,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2004,15,200415
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,41,200541
5,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,22,201822
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,11,201211
4,Ocean,Longline,Species_4,Female,Released,CaptureSiteCategory_2,Type_1,2017,29,201729
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2003,46,200346
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,11,201511
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,6,200906
19,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,41,201641
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,5,200905
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,47,201447
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,9,201209
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2010,31,201031
21,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,30,201430
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2007,7,200707
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,40,201740
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,10,201410
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,29,201529
21,Creek,Longline,Species_6,Unknown,Admitted,CaptureSiteCategory_0,Type_0,2006,51,200651
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,2,201402
10,Ocean,Net,Species_6,,Released,CaptureSiteCategory_2,Type_1,2011,48,201148
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,45,200745
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,39,201039
17,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2016,39,201639
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,24,200824
1,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2011,23,201123
5,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2006,10,200610
19,Ocean,Longline,Species_4,Female, carapace flaking on fourth LS,CaptureSiteCategory_2,Type_1,2017,21,201721
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,45,201445
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,21,200521
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2005,2,200502
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,10,201510
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,49,201649
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,17,201517
27,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2009,48,200948
12,Ocean,Net,Species_6,,,CaptureSiteCategory_2,Type_1,2010,48,201048
19,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,45,201545
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,40,201840
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,31,201731
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,11,201411
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,32,201532
2,Ocean,Net,Species_6,,Released,CaptureSiteCategory_2,Type_1,2011,47,201147
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,9,201509
10,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,38,201738
17,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,50,201850
13,Ocean,Beached,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,20,201320
15,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,11,201211
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,22,201222
15,Creek,Net,Species_6,,,CaptureSiteCategory_0,Type_0,2010,44,201044
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,39,201439
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,25,201225
28,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,29,201629
16,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2010,5,201005
3,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,46,201846
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2011,4,201104
9,Ocean,Net,Species_6,,,CaptureSiteCategory_1,Type_1,2009,37,200937
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,9,201009
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,43,201243
1,Ocean,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,25,201725
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2013,15,201315
22,Creek,Uzio,Species_5,Unknown,,CaptureSiteCategory_4,Type_0,2003,32,200332
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2017,29,201729
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,50,201650
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2011,14,201114
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,42,201542
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,21,201821
21,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,35,201635
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,15,201715
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,15,201515
22,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,47,201847
23,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,44,201844
5,Creek,Jarife,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2002,29,200229
13,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,14,201514
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,49,201049
17,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,40,201240
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2007,1,200701
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,7,201807
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,12,201512
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,47,200747
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,47,200747
24,Ocean,Collected Floater,Species_6,Unknown,Admitted,CaptureSiteCategory_2,Type_1,2012,25,201225
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2015,52,201552
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,4,201604
9,Ocean,Net,Species_5,,,CaptureSiteCategory_1,Type_1,2011,21,201121
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,6,201306
27,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2013,4,201304
27,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,6,201606
9,Ocean,Net,Species_5,Unknown,Admitted,CaptureSiteCategory_1,Type_1,2012,32,201232
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,41,201241
2,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2012,49,201249
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2012,15,201215
15,Creek,Net,Species_6,,,CaptureSiteCategory_0,Type_0,2011,21,201121
5,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2004,46,200446
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,9,201809
24,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2014,43,201443
16,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_4,Type_0,2018,9,201809
19,Ocean,Net,Species_6,Unknown,Admitted,CaptureSiteCategory_2,Type_1,2014,40,201440
9,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_1,Type_1,2014,39,201439
10,Ocean,Collected Floater,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2001,26,200126
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,20,201520
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,18,200818
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,29,200729
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,12,201712
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,35,201835
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2003,49,200349
10,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2017,5,201705
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,16,201716
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2018,23,201823
28,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2016,32,201632
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2012,9,201209
13,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,38,201638
4,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2009,51,200951
23,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,33,201033
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,14,201014
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,24,201324
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,36,201336
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,2,201102
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2015,11,201511
12,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2015,48,201548
15,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,52,201752
25,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2012,2,201202
1,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2016,7,201607
15,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2014,50,201450
9,Ocean,Net,Species_5,,Released,CaptureSiteCategory_1,Type_1,2012,5,201205
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,48,201748
9,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_1,Type_1,2017,41,201741
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2010,18,201018
4,Ocean,Net,Species_5,,,CaptureSiteCategory_2,Type_1,2008,16,200816
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2011,35,201135
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2006,20,200620
16,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2014,3,201403
4,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2013,49,201349
12,Ocean,Net,Species_5,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,35,201835
23,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2004,16,200416
23,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2007,44,200744
10,Ocean,Net,Species_6,Unknown, much whitish -pinkish calcerous algae growth over rear-end of shell+ RFF has a large notch+ LFF has a small notch+ many small bs on all 4 flippers,CaptureSiteCategory_2,Type_1,2002,46,200246
10,Ocean,Longline,Species_5,Male,Admitted,CaptureSiteCategory_2,Type_1,2017,40,201740
23,Creek,Net,Species_5,,Released,CaptureSiteCategory_0,Type_0,2011,45,201145
25,Creek,Net,Species_5,,,CaptureSiteCategory_0,Type_0,2008,36,200836
25,Creek,Net,Species_5,Unknown,Released,CaptureSiteCategory_0,Type_0,2011,27,201127
5,Creek,Longline,Species_5,Unknown,Released,CaptureSiteCategory_4,Type_0,2012,7,201207
24,Ocean,Net,Species_6,Unknown,Released,CaptureSiteCategory_2,Type_1,2018,39,201839
15,Creek,Net,Species_6,Unknown,Released,CaptureSiteCategory_0,Type_0,2017,3,201703
22,Creek,Net,Species_5,,,CaptureSiteCategory_4,Type_0,2011,39,201139
